Input Name,Unit,Input Row Number,Change,North_Field,Low - North_Field,High - North_Field,Yuzhno-Tambeyskoye,Low - Yuzhno-Tambeyskoye,High - Yuzhno-Tambeyskoye,Gorgon (No seq),Low - Gorgon (No seq),High - Gorgon (No seq),Gorgon (seq),Low - Gorgon (seq),High - Gorgon (seq),Jansz-IO,Low - Jansz-IO,High - Jansz-IO,Gorgon&Jansz-Io (No SEQ),Low - Gorgon&Jansz-Io (No SEQ),High - Gorgon&Jansz-Io (No SEQ),Gorgon&Jansz-Io (SEQ),Low - Gorgon&Jansz-Io (SEQ),High - Gorgon&Jansz-Io (SEQ),Coral,Low - Coral,High - Coral,Eagle Ford,Low - Eagle Ford,High - Eagle Ford,Permian ,Low - Permian ,High - Permian ,Marcellus,Low - Marcellus,High - Marcellus,Northern_Montney,Low - Northern_Montney,High - Northern_Montney,Heritage_Montney,Low - Heritage_Montney,High - Heritage_Montney,Duvernay,Low - Duvernay,High - Duvernay
1.1.1   Downhole pump,NA,9,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.2   Water reinjection ,NA,10,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.3   Natural gas reinjection,NA,11,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.4   Water flooding,NA,12,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.5   Gas lifting,NA,13,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.6   Gas flooding,NA,14,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.7   Steam flooding,NA,15,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.8   Oil sands mine (integrated with upgrader),NA,16,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.1.9   Oil sands mine (non-integrated with upgrader),NA,17,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1   Field location (Country),NA,20,0,Qatar,Qatar,Qatar,Russian Federation,,,Australia,,,Australia,,,Australia,,,Australia,,,Australia,,,United States,,,United States,,,United States,,,United States,,,Canada,,,Canada,,,Canada,,
1.2.2   Field name,NA,21,1,North Field,North Field,North Field,Yuzhno-Tambeyskoye,,,Gorgon (No SEQ),,,Gorgon (SEQ),,,Jansz-IO,,,Gorgon&Jansz-Io (No SEQ),,,Gorgon&Jansz-Io (SEQ),,,Coral,,,Eagle Ford,,,Permian (wolfcamp),,,Marcellus,,,Northern Montney,,,Heritage Montney,,,Duvernay,,
1.2.3   Field age,yr.,22,1,30,30,30,2,,,3,,,3,,,3,,,3,,,3,,,1,,,10,,,10,,,10,,,10,,,10,,,6,,
1.2.4   Field depth,ft,23,1,8825,6000,10000,7380,,,12000,,,12000,,,12000,,,12000,,,12000,,,8554.24,,,9978,,,7000,,,6250,,,6645.649,,,7506.496,,,10252.58,,
1.2.5   Oil production volume,bbl/d,24,1,416995.3792,416995.3792,416995.3792,15021,,,10967.74194,,,10967.74194,,,9032.258065,,,20000,,,20000,,,11100,,,1200000,,,1000000,,,20000,,,12786.353,,,28703.042,,,16369.765,,
1.2.6   Number of producing wells,[-],25,1,208,208,208,208,,,8,,,8,,,10,,,18,,,18,,,6,,,20000,,,7750,,,11300,,,1397,,,2381,,,797,,
1.2.7   Number of water injecting wells,[-],26,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.2.8   Production tubing diameter,in,27,0,8.3125,8.3125,8.3125,5,,,7.625,,,7.625,,,7.625,,,7.625,,,7.625,,,9.875,,,4.5,,,4.5,,,5.5,,,5.5,,,4.5,,,5.5,,
1.2.9   Productivity index,bbl/psi-d,28,1,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
1.2.10   Reservoir pressure,psi,29,1,4817.5,4817.5,4817.5,2972.5,,,6500,,,6500,,,6500,,,6500,,,6500,,,7186.644,,,4587,,,3875,,,3125,,,3683,,,4088,,,6763,,
1.2.11   Reservoir temperature,?F,30,1,221,221,221,110.7,,,179.4,,,179.4,,,179.4,,,179.4,,,179.4,,,128.3136,,,149.67,,,116.25,,,125,,,171.92,,,185.31,,,190.57,,
1.2.12   Offshore?,[0-1],31,1,1,1,1,0,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.1   API gravity,deg. API,34,1,60,60,60,50,,,52.9,,,52.9,,,52.9,,,52.9,,,52.9,,,50,,,48,,,45,,,64,,,60.1,,,59.1,,,47.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,mol%,36,1,3.35,3.35,3.35,3,,,2,,,2,,,2,,,2,,,2,,,3,,,0.3,,,0.3,,,0.2,,,1.07,,,0.7,,,0.93,,
CO2,mol%,37,1,1.76,0.05,1.76,1,,,14,,,14,,,1,,,8.8,,,8.8,,,1.5,,,2,,,0.5,,,2.4,,,0.29,,,0.41,,,0.68,,
C1,mol%,38,1,83.27,83.27,83.27,81.5,,,70,,,70,,,83,,,75.2,,,75.2,,,81,,,66.6,,,72.9,,,76.5,,,85.58,,,86.73,,,73.32,,
C2,mol%,39,1,5.16,5.16,5.16,6,,,8,,,8,,,8,,,8,,,8,,,6,,,16.3,,,10,,,12.6,,,7.98,,,7.51,,,14.39,,
C3,mol%,40,1,1.91,1.91,1.91,4,,,3,,,3,,,3,,,3,,,3,,,4,,,8.5,,,10.5,,,5.1,,,2.82,,,2.72,,,6.37,,
C4+,mol%,41,1,4.02,4.02,4.02,4,,,3,,,3,,,3,,,3,,,3,,,4,,,6.3,,,5.5,,,3.2,,,2.16,,,1.91,,,4.3,,
H2S,mol%,42,1,0.53,0.53,0.53,0.5,,,0,,,0,,,0,,,0,,,0,,,0.5,,,0,,,0.3,,,0,,,0.1,,,0.02,,,0.01,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.1   Gas-to-oil ratio (GOR),scf/bbl oil,46,1,44365,44365,44365,175554,,,155000,,,155000,,,155000,,,155000,,,155000,,,36580.2,,,5000,,,4000,,,1000000,,,127729,,,99271,,,24012,,
1.4.2   Water-to-oil ratio (WOR),bbl water/bbl oil,47,1,1,1,1,1,,,0.65,,,0.65,,,0.65,,,0.65,,,0.65,,,0.5,,,1,,,3,,,25,,,2.127,,,2.631,,,0.826,,
1.4.3   Water injection ratio,bbl water/bbl oil,48,1,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.4   Gas lifting injection ratio,scf/bbl liquid,49,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.5   Gas flooding injection ratio,scf/bbl oil,50,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.6   Flood gas ,NA,51,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.7.1   Percentage of newly acquired CO2 (total injected CO2 includes both new and recycled),%,58,0,0,0,0,0,,,0,,,100,,,0,,,0,,,100,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.7.2   Source of CO2,NA,59,0,0,0,0,0,,,0,,,1,,,0,,,0,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.7.3   Percentage of sequestration credit assigned to the oilfield,%,62,0,0,0,0,0,,,0,,,100,,,0,,,0,,,100,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.8   Steam-to-oil ratio (SOR),bbl steam/bbl oil,63,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.9   Fraction of required electricity generated onsite,[-],64,0,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.10   Fraction of remaining natural gas reinjected,[-],65,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.11   Fraction of produced water reinjected,[-],66,0,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
1.4.12   Fraction of steam generation via cogeneration ,[-],67,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
1.4.13   Fraction of steam generation via solar thermal,[-],68,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.1   Heater/treater,NA,70,0,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
1.5.2   Stabilizer column,NA,71,0,1,1,1,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
1.5.3   Upgrader type,,72,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
