Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),100100701214W402,,Dduvernay,AB,EDSON,460.710503,28.57,28.57,42.86,0.417,,0.417,4593.176,9.864,225.998,1.042,2229.244272,56.55035407,1501.35012,1557.900474,3727274.098,1.48,12.61,347.4846409,,
Bakken (SK),100122305216W502,,Dduvernay,AB,FERRIER,128918.688,0.0942,0.4274,0.5217,0.5,,0.5,11390.42031,2.23,257839.241,7.105,574981.5074,17489.02085,406.975,17895.99585,3727274.098,0.28,5.3,5.419144974,,
Bakken (SK),100151903906W500,,Dduvernay,AB,FERRIER,20542.9391,0.0627,0.0592,0.007,0.5,,0.5,11207.67752,27.034,20554.54,0.248,555671.4344,16901.6728,4933.705,21835.3778,3727274.098,0.45,2.88,3.720680457,,
Bakken (SK),100161004108W500,,Dduvernay,AB,FERRIER,40231.11161,0.5159,0,0.0597,0.5,,0.5,11423.22871,3.943,53766.005,2.4,211999.3577,6448.313797,719.5975,7167.911297,3727274.098,0.41,3.55,3.948974008,,
Bakken (SK),102030906118W500,,Dduvernay,AB,FOX CREEK,1948922.703,0.0325,0.0027,0.001,0.417,,0.417,10163.71424,1.001,944232.858,0,945177.0909,23976.77985,152.357205,24129.13706,3727274.098,0.2,2.1,2.137917106,,
Bakken (SK),100040906118W500,,Dduvernay,AB,FOX CREEK,4917721.088,0.0117,0.0035,0.001,0.417,,0.417,10198.16306,0.343,2831195.822,0,971100.1669,24634.38349,52.206315,24686.5898,3727274.098,0.2,2.2,2.154745132,,
Bakken (SK),100012206118W500,,Dduvernay,AB,FOX CREEK,1200212.795,0.0728,0,13.3739,0.5,,0.5,9988.845464,0.155,2079410.686,0,322308.6563,9803.554963,28.2875,9831.842463,3727274.098,0.3,12.8,12.87866198,,
Bakken (SK),100023506118W500,,Dduvernay,AB,FOX CREEK,96829268,0,0,0.001,0.5,,0.5,9808.07118,0.01,110168465.8,0,1101684.658,33509.575,1.825,33511.4,3727274.098,0.2,2.1,2.135934408,,
Bakken (SK),102103606119W500,,Dduvernay,AB,FOX CREEK,1974668.976,0,0,0.644,0.5,,0.5,10261.15518,0.079,6407517.325,110.957,506193.8687,15396.73017,14.4175,15411.14767,3727274.098,0.2,1.9,1.871102006,,
Bakken (SK),103103606119W500,,Dduvernay,AB,FOX CREEK,1974668.976,0,0,0.644,0.5,,0.5,10276.24705,0.134,4333921.154,66.462,580745.4346,17664.3403,24.455,17688.7953,3727274.098,0.3,3.2,3.193288023,,
Bakken (SK),100131603403W502,,Dduvernay,AB,GILBY,14072.75206,1.5305,0,0.1665,0.5,,0.5,10491.47015,17.339,14072.854,0.252,244009.2155,7421.946972,3164.3675,10586.31447,3727274.098,0.5,4.3,6.071165504,,
Bakken (SK),100023004004W502,,Dduvernay,AB,GILBY,132910.9648,0,0,1.8694,0.5,,0.5,10442.91372,0.214,288066.919,0,61646.32067,1875.075587,39.055,1914.130587,3727274.098,0.2,3.4,3.440878179,,
Bakken (SK),103033004004W500,,Dduvernay,AB,GRIZZLY,132910.9648,0,0,1.8694,0.5,,0.5,10440.61713,0.172,105330.523,0,18116.84996,551.0541862,31.39,582.4441862,3727274.098,0.2,3.7,3.908126823,,
Bakken (SK),100133206122W500,,Dduvernay,AB,GRIZZLY,28668.27442,0.285,0,2.6669,0.083,,0.083,11738.51744,9.947,57336.964,0,570330.7809,2879.695168,301.344365,3181.039533,3727274.098,0.4,5,5.56696656,,
Bakken (SK),100130906222W502,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11333.3337,0.21,5424932.462,0,1139235.817,34651.7561,38.325,34690.0811,3727274.098,0.2,2.5,2.521173173,,
Bakken (SK),102140906222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11339.56729,0.162,7935985.713,0,1285629.686,39104.5696,29.565,39134.1346,3727274.098,0.2,2.5,2.503717313,,
Bakken (SK),100150906222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11303.47805,0.193,5587061.577,0,1078302.884,32798.3794,35.2225,32833.6019,3727274.098,0.3,2.5,2.540660107,,
Bakken (SK),102150906222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11315.28908,0.186,5792534.138,0,1077411.35,32771.26189,33.945,32805.20689,3727274.098,0.2,2.5,2.535136844,,
Bakken (SK),102011606222W500,,Dduvernay,AB,GRIZZLY,23981.0245,0,0,0.5917,0.5,,0.5,11093.83238,12.287,20504.043,0,251933.1763,7662.967447,2242.3775,9905.344947,3727274.098,0.5,3.8,4.867295627,,
Bakken (SK),100061006223W502,,Dduvernay,AB,GRIZZLY,18101.44729,0,0,7.3449,0.5,,0.5,11981.62768,2.154,16772.033,0,36126.95908,1098.861672,393.105,1491.966672,3727274.098,0.6,8,10.8941398,,
Bakken (SK),100151506223W502,,Dduvernay,AB,KAYBOB,16936.23983,0,0,0.5459,0.5,,0.5,11759.51481,15.905,16843.9,0,267902.2295,8148.692814,2902.6625,11051.35531,3727274.098,0.6,3.9,5.234407916,,
Bakken (SK),100060906320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10016.07644,0.19,10815417.35,0,2054929.296,62504.09943,34.675,62538.77443,3727274.098,0.2,2.8,2.765022968,,
Bakken (SK),102051106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10212.59875,0.376,1408912.42,36.596,529751.0699,16113.26171,68.62,16181.88171,3727274.098,0.2,2.7,2.665210123,,
Bakken (SK),103051106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10210.95833,0.948,276097.047,9.844,261740.0006,7961.25835,173.01,8134.26835,3727274.098,0.2,2.8,2.816771152,,
Bakken (SK),102061106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10196.19455,0.01,23233353.16,1654,232333.5316,7066.811587,1.825,7068.636587,3727274.098,0.2,2.8,2.801484192,,
Bakken (SK),105071106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10181.75886,0.638,450597.095,15.016,287480.9466,8744.212126,116.435,8860.647126,3727274.098,0.2,2.8,2.86072388,,
Bakken (SK),100051206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10054.79035,0.186,3011419.042,0,560123.9418,17037.10323,33.945,17071.04823,3727274.098,0.2,2.5,2.47336809,,
Bakken (SK),103101206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10033.79297,0.107,4102666.988,0,438985.3677,13352.4716,19.5275,13371.9991,3727274.098,0.3,3.4,3.359017129,,
Bakken (SK),104111206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10045.93208,0.19,1992378.196,0,378551.8572,11514.28566,34.675,11548.96066,3727274.098,0.2,2.7,2.745123882,,
Bakken (SK),102121206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10112.86122,0.869,833527.982,0,724335.8164,22031.88108,158.5925,22190.47358,3727274.098,0.2,2.7,2.76904195,,
Bakken (SK),100141206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10031.49638,0.214,2721738.838,0,582452.1113,17716.25172,39.055,17755.30672,3727274.098,0.2,2.5,2.473792845,,
Bakken (SK),100051306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9917.651236,0.931,681512.525,0,634488.1608,19299.01489,169.9075,19468.92239,3727274.098,0.2,2.8,2.782088902,,
Bakken (SK),100121306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9928.149924,1.32,528845.695,0,698076.3174,21233.15465,240.9,21474.05465,3727274.098,0.2,2.8,2.866503127,,
Bakken (SK),100141406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10005.57775,0.148,5529499.926,661.698,818365.989,24891.9655,27.01,24918.9755,3727274.098,0.2,2.8,2.826161316,,
Bakken (SK),100151406320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9954.396644,1.179,543864.259,58.067,641215.9614,19503.65216,215.1675,19718.81966,3727274.098,0.2,2.8,2.818547369,,
Bakken (SK),102051606320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10069.22604,0.227,1345725.551,0,305479.7001,9291.674211,41.4275,9333.101711,3727274.098,0.2,2.8,2.855766064,,
Bakken (SK),102071606320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,10056.75885,0.128,1194551.201,0,152902.5537,4650.786009,23.36,4674.146009,3727274.098,0.2,2.8,2.815589654,,
Bakken (SK),100092106320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10171.91634,1.062,350878.131,0,372632.5751,11334.24083,193.815,11528.05583,3727274.098,0.2,2.6,2.59517082,,
Bakken (SK),102012206320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9969.160424,0.128,3065286.363,152.243,392356.6545,11934.18157,23.36,11957.54157,3727274.098,0.2,2.8,2.775501657,,
Bakken (SK),100112206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10145.9977,0.589,984399.562,0,579811.342,17635.92832,107.4925,17743.42082,3727274.098,0.2,2.6,2.632863445,,
Bakken (SK),103132206320W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,10205.3809,0.958,536359.065,0,513831.9843,15629.05619,174.835,15803.89119,3727274.098,0.2,2.7,2.714408084,,
Bakken (SK),100072306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9963.582996,0.751,1201583.066,125.339,902388.8826,27447.66184,137.0575,27584.71934,3727274.098,0.2,2.8,2.780716001,,
Bakken (SK),102102306320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9985.23654,0.014,60551014.31,10139.25,847714.2003,25784.64026,2.555,25787.19526,3727274.098,0.2,2.9,2.893177275,,
Bakken (SK),100022506320W500,,Dduvernay,AB,KAYBOB,3250092.501,0,0,0.7849,0.5,,0.5,9838.254908,0.396,916552.291,0,362954.7072,11039.87235,72.27,11112.14235,3727274.098,0.3,3.3,3.28209214,,
Bakken (SK),100132606320W500,,Dduvernay,AB,KAYBOB,1830767.904,0,0,1.2137,0.5,,0.5,9883.5305,0.01,168235004.8,0,1682350.048,51171.48062,1.825,51173.30562,3727274.098,0.2,2.7,2.718315044,,
