Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),100122305216W502,,Dduvernay,AB,EDSON,460.710503,28.57,28.57,42.86,0.417,,0.417,4593.176,9.864,225.998,1.042,2229.244272,56.55035407,1501.35012,1557.900474,4709281.158,1.48,12.61,347.3917237,54411.5738,
Bakken (SK),100151903906W500,,Dduvernay,AB,FERRIER,128918.688,0.0942,0.4274,0.5217,0.5,,0.5,11390.42031,2.23,257839.241,7.105,574981.5074,17489.02085,406.975,17895.99585,4709281.158,0.28,5.3,5.423332662,,
Bakken (SK),100121904007W500,,Dduvernay,AB,FERRIER,20542.9391,0.0627,0.0592,0.007,0.5,,0.5,11207.67752,27.034,20554.54,0.248,555671.4344,16901.6728,4933.705,21835.3778,4709281.158,0.45,2.88,3.720690183,,
Bakken (SK),100032104007W502,,Dduvernay,AB,FERRIER,38476.45535,2.2201,0,0.1011,0.5,,0.5,11336.94262,4.15,65020.626,2.45,269835.5979,8207.499436,757.375,8964.874436,4709281.158,0.37,4.8,5.242936369,,
Bakken (SK),100042104007W500,,Dduvernay,AB,FERRIER,93661.17296,0,0.5525,0.001,0.5,,0.5,11284.1211,1.589,87921.993,2.213,139708.0469,4249.453093,289.9925,4539.445593,4709281.158,0.27,4.44,4.742995861,,
Bakken (SK),103081104008W503,,Dduvernay,AB,FERRIER,93661.17296,0,0.5525,0.001,0.5,,0.5,11292.3232,0.786,294645.128,0.737,231591.0706,7044.228397,143.445,7187.673397,4709281.158,0.21,4.13,4.21410117,,
Bakken (SK),100091804008W502,,Dduvernay,AB,FERRIER,92619.64246,0,0.8308,0.0776,0.5,,0.5,11627.95313,2.288,185240.625,2.651,423830.55,12891.51256,417.56,13309.07256,4709281.158,0.31,6.89,7.113169189,,
Bakken (SK),100092404008W503,,Dduvernay,AB,FERRIER,55914.481,2.166,0,0.0999,0.5,,0.5,12011.48332,4.849,111829.771,1.897,542262.5596,16493.81952,884.9425,17378.76202,4709281.158,0.36,4.71,4.962705516,,
Bakken (SK),100022504008W500,,Dduvernay,AB,FERRIER,38476.45535,2.2201,0,0.1011,0.5,,0.5,11355.31532,2.554,77801.695,3.889,198705.529,6043.95984,466.105,6510.06484,4709281.158,0.38,4.84,5.21325665,,
Bakken (SK),100161004108W500,,Dduvernay,AB,FERRIER,38476.45535,2.2201,0,0.1011,0.5,,0.5,11399.60666,11.577,58763.934,0.86,680310.0639,20692.76444,2112.8025,22805.56694,4709281.158,0.37,4.75,5.234991355,,
